Name,Color1,Color2,Color3,Color4,Color5,Color6,Streak1,Streak2,Streak3,Streak4,Streak5,Streak6,Luster1,Luster2,Luster3,Diaphaneity1,Diaphaneity2,Other1,Other2,Fracture,Cleavage,HardLow,HardHigh,SpecGravLow,SpecGravHigh
Apatite,green,brown,yellow,pink,violet,,white,,,,,,vitreous,,,transparent,translucent,brittle,fractured,false,1,4.9,5.1,3.1,3.2
Augite,green,gray,brown,black,,,green,,,,,,vitreous,dull,,translucent,,brittle,,false,2,5.0,5.5,3.2,3.6
Barite,white,gray,red,brown,clear,,white,,,,,,vitreous,pearly,,transparent,translucent,heavy,,false,3,3.0,3.5,4.3,4.6
Bauxite,white,gray,yellow,red,brown,,white,,,,,,dull,earthy,,translucent,opaque,pisolitic,,true,0,1.0,3.0,2.0,2.6
Biotite,green,brown,black,,,,colorless,,,,,,nonmetallic,submetallic,,translucent,,flakes,flexible,false,1,2.5,3.0,2.8,3.2
Bornite,brass,,,,,,black,,,,,,metallic,,,opaque,,irridescent,,false,0,2.9,3.1,5.0,5.1
Calcite,white,gray,green,yellow,clear,,white,,,,,,vitreous,pearly,,transparent,translucent,double refraction,HCl reactive,false,3,2.9,3.1,2.6,2.8
Chalcopyrite,brass,yellow,,,,,green,black,,,,,metallic,,,opaque,,brittle,,true,0,3.5,4.0,4.1,4.3
Chlorite,green,gray,black,,,,gray,green,,,,,vitreous,dull,,transparent,translucent,foliated,scaly,false,1,2.0,2.5,2.6,3.3
Corundum,brown,pink,blue,,,,colorless,,,,,,vitreous,adamantine,,transparent,translucent,hexagonal,,true,0,8.9,9.1,4.0,4.1
Dolomite,pink,white,gray,,,,white,,,,,,vitreous,pearly,,transparent,translucent,,,false,3,3.5,4.0,2.8,2.9
Epidote,green,black,,,,,white,colorless,,,,,vitreous,dull,,transparent,translucent,,,false,1,6.0,7.0,3.3,3.4
Fluorite,clear,yellow,purple,blue,,,white,,,,,,vitreous,,,transparent,translucent,fluorescent,,false,4,6.0,7.0,3.1,3.2
Garnet,red,green,black,,,,colorless,,,,,,vitreous,resinous,,transparent,opaque,,,true,0,6.5,7.5,3.5,4.3
Goethite,yellow,brown,black,,,,yellow,brown,,,,,dull,adamantine,submetallic,translucent,,fibrous,silky,false,1,5.0,5.5,3.3,4.3
Graphite,black,,,,,,black,silver,gray,,,,metallic,submetallic,,opaque,,slippery,,false,1,1.0,2.0,2.2,2.3
Gypsum,white,gray,brown,red,clear,,white,,,,,,vitreous,pearly,,transparent,translucent,fibrous,,false,2,1.5,2.0,2.3,2.4
Halite,white,gray,blue,red,clear,,white,,,,,,vitreous,pearly,,transparent,translucent,salty,,false,3,2.0,2.5,2.1,2.2
Hematite,red,brown,silver,black,,,red,,,,,,dull,metallic,submetallic,opaque,,oolitic,magnetic,true,0,5.0,6.5,5.2,5.3
Hornblende,brown,green,black,,,,colorless,,,,,,vitreous,,,translucent,,fibrous,silky,false,2,5.0,6.0,3.0,3.4
Kaolinite,white,gray,yellow,,,,white,,,,,,dull,earthy,,translucent,,,,false,1,2.0,2.5,2.5,2.7
Limonite,yellow,brown,black,,,,yellow,brown,,,,,dull,earthy,,translucent,opaque,,,true,0,4.0,5.5,2.7,4.3
Magnetite,black,silver,,,,,black,,,,,,metallic,submetallic,,opaque,,magnetic,,true,0,5.9,6.1,5.1,5.2
Muscovite,clear,white,yellow,silver,,,colorless,,,,,,vitreous,pearly,,transparent,,flakes,,false,1,2.0,2.5,2.7,3.0
Nepheline,colorless,gray,white,,,,white,colorless,,,,,greasy,vitreous,,transparent,translucent,,,false,1,5.6,6.0,2.5,2.7
Olivine,green,brown,red,,,,colorless,,,,,,vitreous,,,transparent,translucent,conchoidal fracture,,true,0,6.5,7.0,3.2,4.3
Orthoclase,white,gray,pink,clear,green,yellow,white,colorless,,,,,vitreous,,,transparent,translucent,striations,,false,2,6.0,6.5,2.5,2.6
Phlogopite,yellow,brown,,,,,colorless,white,,,,,vitreous,pearly,,transparent,,,,false,1,2.5,3.0,2.6,2.7
Plagioclase,white,gray,clear,blue,green,,white,colorless,,,,,vitreous,,,transparent,translucent,striations,,false,2,5.9,6.1,2.6,2.8
Pyrite,brass,yellow,,,,,black,,,,,,metallic,,,opaque,,crystalline,,true,0,1.0,2.0,5.0,5.1
Pyrrhotite,brown,,,,,,black,,,,,,metallic,,,opaque,,magnetic,,true,0,3.9,4.1,4.5,4.7
Quartz,any,,,,,,colorless,,,,,,vitreous,glassy,,transparent,translucent,hexagonal,,true,0,6.9,7.1,2.6,2.7
Serpentine,green,yellow,black,,,,white,gray,,,,,greasy,waxy,,transparent,translucent,varigated,fibrous,false,1,3.0,5.0,2.2,2.4
Sphalerite,white,red,yellow,brown,green,black,white,yellow,brown,,,,resinous,adamantine,submetallic,translucent,,brittle,,false,6,3.5,5.0,3.9,4.1
Talc,white,green,gray,silver,,,white,,,,,,pearly,greasy,,translucent,opaque,flakes,,false,1,0.9,1.1,2.7,2.8
Tourmaline,black,green,brown,pink,yellow,,colorless,,,,,,vitreous,,,transparent,opaque,striations,,true,0,7.0,7.5,3.5,4.3
